央视高清,#genre#
宁夏卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000047/index.m3u8
新疆卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000045/index.m3u8

影视综艺,#genre#
黑莓电影,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010073/1.m3u8
NewTV-东北热剧,http://[2409:8087:74d9:21::6]:80/270000001128/9900000092/index.m3u8
NewTV-超级电影,http://[2409:8087:74d9:21::6]:80/270000001128/9900000021/index.m3u8
NewTV-超级电视剧,http://[2409:8087:74d9:21::6]:80/270000001128/9900000022/index.m3u8
NewTV-欢乐剧场,http://[2409:8087:74d9:21::6]:80/270000001128/9900000091/index.m3u8
NewTV-超级综艺,http://[2409:8087:74d9:21::6]:80/270000001128/9900000019/index.m3u8#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010062/1.m3u8
NewTV-潮妈辣婆,http://[2409:8087:74d9:21::6]:80/270000001128/9900000099/index.m3u8
NewTV-家庭剧场,http://[2409:8087:74d9:21::6]:80/270000001128/9900000108/index.m3u8#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010074/1.m3u8
NewTV-海外剧场,http://[2409:8087:74d9:21::6]:80/270000001128/9900000115/index.m3u8
NewTV-精品大剧,http://[2409:8087:74d9:21::6]:80/270000001128/9900000100/index.m3u8#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010072/1.m3u8
NewTV-军旅剧场,http://[2409:8087:74d9:21::6]:80/270000001128/9900000107/index.m3u8
少儿动画,#genre#
金鹰卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010107/1.m3u8#http://[2409:8087:74d9:21::6]:80/270000001128/9900000039/index.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
黑莓动画,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010002/1.m3u8#http://[2409:8087:74d9:21::6]:80/270000001128/9900000096/index.m3u8
北京卡酷少儿,http://[2409:8087:74d9:21::6]:80/270000001128/9900000040/index.m3u8#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010081/1.m3u8
哈哈炫动,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010117/1.m3u8#http://[2409:8087:74d9:21::6]:80/270000001128/9900000069/index.m3u8
江苏优漫卡通,http://[2409:8087:74d9:21::6]:80/270000001128/9900000070/index.m3u8#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010118/1.m3u8
动漫秀场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
游戏风云,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031114/1.m3u8

纪录和科学,#genre#
NewTV-精品纪录,http://[2409:8087:74d9:21::6]:80/270000001128/9900000109/index.m3u8#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010076/1.m3u8

体育,#genre#
NewTV-精品体育,http://[2409:8087:74d9:21::6]:80/270000001128/9900000102/index.m3u8#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010078/1.m3u8
NewTV-超级体育,http://[2409:8087:74d9:21::6]:80/270000001128/9900000020/index.m3u8#http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010063/1.m3u8
